ID,Name,Open,Stars,Review Count,Address,City,Neighborhoods,State,Longitude,Latitude,Type,Category
F04xyOUA2xnUoCiWpx9iJA,Rossi Tailoring & Cleaners,True,3.0,3,Bower Hill Rd & Vanadium Rd Carnegie PA 15106,Carnegie,,PA,-80.0843536574327,40.3688246816964,business,Local Services & Dry Cleaning & Laundry & Sewing & Alterations
Cdcus0NADzyY3XiJM2O5Sg,Heidelberg B P,False,3.0,4,1927 E Railroad St Carnegie PA 15106,Carnegie,,PA,-80.089241,40.388284,business,Automotive & Gas & Service Stations
fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,True,4.0,7,1201 Washington Ave Carnegie PA 15106,Carnegie,,PA,-80.0849416,40.3964688,business,Bars & American (Traditional) & Nightlife & Lounges & Restaurants
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,True,4.5,58,1073 Washington Ave Carnegie PA 15106,Carnegie,,PA,-80.0833859,40.3980741,business,Breakfast & Brunch & Sandwiches & Restaurants
zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,True,3.5,6,202 3rd Ave Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.089985,40.404638,business,Cafes & Restaurants
zgy27FSnvwdINfk5cXBIyQ,Extended Stay America - Pittsburgh - Carnegie,True,3.5,7,520 North Bell Avenue Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.088557,40.417419,business,Hotels & Travel & Event Planning & Services & Hotels
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,False,3.0,7,215 E Main St Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.085279,40.40867,business,Pubs & Irish & Nightlife & Bars & Restaurants
6o3RK6rTcN3nw-j-r2nQmA,Porto Fino Pizzaria & Gyro,True,2.5,4,231 E Main St Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0848871,40.4088068,business,
woOVJ0Z2f6XNCDntHA3b_g,Alteration World,True,4.5,10,117 E Mall Plz Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0876046,40.4068712,business,Local Services & Sewing & Alterations
YX_cdwb0A62hdQRBiZJgtQ,Greentree Auto Body,True,2.5,3,301 Noblestown Rd East Carnegie Carnegie PA 15106,Carnegie,East Carnegie,PA,-80.0667012,40.4165426,business,Automotive & Body Shops
rv7CY8G_XibTx82YhuqQRw,Long John Silver's,True,3.5,5,Raceway Plz Carnegie PA 15106,Carnegie,,PA,-80.0937037,40.3868915,business,Restaurants
e_U_FnpdKVgNb4mUN2cU_Q,"Weinberg Lisa, DMD",True,3.0,8,2323 Greentree Rd Carnegie PA 15106,Carnegie,,PA,-80.078657,40.39076,business,Health & Medical & Dentists & General Dentistry
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,True,2.5,9,214 E Main St Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0849615,40.4083473,business,Chinese & Restaurants
L0YSY79uzz_FIInvKmvyIw,West Penn Dental Centers,True,4.0,4,312 2nd Ave Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0904271,40.4031063,business,Health & Medical & Dentists & General Dentistry
wqu7ILomIOPSduRwoWp4AQ,Denny's,True,4.0,9,2180 Greentree Rd Pittsburgh PA 15220,Pittsburgh,,PA,-80.073788,40.39114,business,American (Traditional) & Restaurants
1u2NauOy8xDj7aFQET680A,Amerifit,True,3.0,6,100 Roessler Rd Carnegie PA 15106,Carnegie,,PA,-80.060154,40.394305,business,Active Life & Gyms & Trainers & Fitness & Instruction
P1fJb2WQ1mXoiudj8UE44w,Papa J's,True,3.5,64,200 E Main St Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0851737,40.4081422,business,Restaurants & Italian
8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,True,2.5,3,300 Davis Blvd Etna Pittsburgh PA 15275,Pittsburgh,Etna,PA,-79.958717,40.495167,business,American (Traditional) & Comfort Food & Caterers & Event Planning & Services & Restaurants
t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,True,3.5,3,820 Amity St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9105266,40.4067047,business,Italian & Pizza & Restaurants
3gmBc0qN_LtGbZAjTtHWZg,Starbucks,True,3.5,20,270 W Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.916958,40.407091,business,Food & Coffee & Tea
sZ4uYs99km644ZMR1TO76A,Randy's Beer Barrel Pub,True,2.5,3,3619 Main St Homestead PA 15120,Homestead,,PA,-79.9036345,40.3846329,business,Pubs & Bars & Nightlife
yHTLTr-QN-loO_7XoxS8qg,Michaels,True,3.0,8,660 Waterfront Dr E Homestead Munhall PA 15120,Munhall,Homestead,PA,-79.9037778,40.4140637,business,Arts & Crafts & Shopping & Knitting Supplies & Hobby Shops
iQLLIdmJSt6LQHSjpZERLA,Yankee Candle Co.,True,4.0,3,138 W Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9163491,40.4075854,business,Gift Shops & Flowers & Gifts & Shopping & Home Decor & Home & Garden
6ilJq_05xRgek_8qUp36-g,Steak 'n Shake,True,2.0,48,650 E  Waterfront Dr Homestead Munhall PA 15120,Munhall,Homestead,PA,-79.9044562,40.413496,business,Burgers & Fast Food & Restaurants
57HN9fGRar_GckBmgHgemA,Filene's Basement,False,4.0,6,280 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9124082,40.4116978,business,Department Stores & Fashion & Shopping
MKyk4F4HSzHF8v-4cYe3Ww,Sing Sing,True,3.5,30,171 E Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9152619,40.4094353,business,Bars & Nightlife
0hrB2iwQZ52VZcZWYywXrA,Joe Dilorio's Auto Body Shop,True,4.5,10,101 E 7th Ave Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.912788,40.40682,business,Automotive & Body Shops
gClSqcwuLsgyZRCzhJc7Dg,Lowe's Home Improvement,True,3.0,8,690 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9016982,40.4126484,business,Shopping & Home Services & Building Supplies & Home & Garden & Hardware Stores & Nurseries & Gardening
1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,True,3.5,26,122 W 8th Ave Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.912595,40.405311,business,Pubs & Bars & American (New) & Nightlife & Restaurants
sbW8qHJgzEIH42B0S-3New,Dave & Buster's,True,2.5,85,180 E Waterfront Dr Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9141865,40.4092932,business,Arts & Entertainment & American (Traditional) & Bars & Pubs & Arcades & Nightlife & Restaurants
CgGT6sr4OCF2BHYngOIqlw,Paw's In the Family Pet Grooming,True,5.0,3,3804 Main St Homestead PA 15120,Homestead,,PA,-79.904493,40.383607,business,Pet Services & Pet Boarding/Pet Sitting & Pets
W7ysp8GLCBrs0GXIVwAcBQ,Wendy's,True,2.0,5,610 William Marks Way Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9017997,40.4097098,business,Burgers & Fast Food & Restaurants
-taSf0shFSUKy9iCXnySsA,Italian Village Pizza,True,2.5,4,2615 Main St Homestead PA 15120,Homestead,,PA,-79.9000102,40.3925524,business,Pizza & Restaurants
McikHxxEqZ2X0joaRNKlaw,Rock Bottom,True,3.5,124,171 E Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9152619,40.4094353,business,Food & American (Traditional) & Breweries & Restaurants
frIRW4BGhdAWbSsG5ev2ng,Master Muffler & Brakes,True,3.5,3,1415 West St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9069188,40.4023107,business,Auto Repair & Automotive
tv8cS4aaA1VDaInYgggb6g,Improv Comedy Club,True,3.0,40,166 E Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9148477,40.4089836,business,Nightlife & Comedy Clubs
eT5Ck7Gg1dBJobca9VFovw,Giant Eagle,True,3.5,31,420 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.908469,40.4111498,business,Food & Grocery
HwwEfnZKLNOUoqfgcwAgcQ,Barnes & Noble Booksellers,True,3.5,17,100 W Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.918751,40.4040168,business,"Books, Mags, Music & Video & Shopping & Bookstores"
EoAY1JSVeJriBzId8lUQwQ,Bar Louie,True,2.5,74,244 W Bridge St Homestead West Homestead PA 15120,West Homestead,Homestead,PA,-79.917508,40.4070709,business,Bars & American (New) & Nightlife & Restaurants
uI0LvTXFACid1308KFO5ew,Sandcastle Water Park,True,3.0,16,1000 Sandcastle Dr Hays Homestead PA 15120,Homestead,Hays,PA,-79.9337369,40.395691,business,Active Life & Swimming Pools
Y4CcDDyMoDpK7BbpKawWjw,American Buyers Discount Mattress Store,True,5.0,3,401 E 8th Ave Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9073564,40.4089932,business,Mattresses & Shopping & Home & Garden
RxKrw38oyeYszQ6guY5b1A,First Class Limousine Service,True,5.0,11,207 E 16th Ave Apt 1 Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.904308,40.4027249,business,Hotels & Travel & Airport Shuttles & Limos & Transportation
TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,True,3.5,5,3360 Main St Munhall PA 15120,Munhall,,PA,-79.9029475,40.3868368,business,Chinese & Restaurants
tU-YtoW339PXJmUGSix_AQ,TGI Friday's,True,2.5,19,185 Waterfront Dr W Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9155451418884,40.4108743190118,business,Bars & American (Traditional) & Nightlife & Restaurants
6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,True,3.0,41,205 East Waterfront Drive Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9141364,40.410967,business,American (Traditional) & Pizza & Gluten-Free & Restaurants
Eu3Iwje0YY8ectr-CxMgqg,Bath & Body Works,True,4.5,4,The Waterfront Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9115741,40.4107319,business,Shopping & Cosmetics & Beauty Supply & Beauty & Spas
XhbC5Qj5nBcqcKLPRd8izQ,Victoria's Secret,True,2.0,3,229 W Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9177191,40.4078303,business,Lingerie & Shopping & Fashion
FituZ4jYzRe41ac9uvcHaQ,LOFT,True,4.5,3,126 West Bridge Street Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.916227,40.407859,business,Women's Clothing & Fashion & Shopping & Shoe Stores
JDDeaNfb0JXD1NbznSIC9g,P.F. Chang's China Bistro,True,3.0,82,148 W Bridge St Homestead West Homestead PA 15120,West Homestead,Homestead,PA,-79.9158429,40.4073551,business,Gluten-Free & Asian Fusion & Chinese & Restaurants
oPX8bpZ3dqviYQuic0Ahqw,Gordon Shoes,True,4.0,6,112 W Bridge St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9160494,40.408145,business,Fashion & Shopping & Shoe Stores
FiXamVMgMf9U0VqFHDZSEA,Panera Bread,True,3.0,22,210 W Bridge St Homestead West Homestead PA 15120,West Homestead,Homestead,PA,-79.916603,40.407174,business,Soup & Sandwiches & Salad & Restaurants
LG_Dgv7u7P2ASDWU1RAyWQ,Munhall Veterinary Hospital,True,3.5,3,2114 West St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.903166,40.3973704,business,Veterinarians & Pets
ISKLP0qxApATxRlUDob6Cg,Target,True,3.5,21,360 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9113203,40.4121132,business,Department Stores & Fashion & Shopping
DMy5IG-dNrH4ARk96KngEA,Men's Wearhouse,True,2.5,9,324 Amity St Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.91295,40.40939,business,Men's Clothing & Fashion & Shopping & Formal Wear
uLnDFdn011hEroQQMLmxNQ,The Pizza Company,True,3.5,8,3502 Main St Munhall PA 15120,Munhall,,PA,-79.9032997,40.3857182,business,Pizza & Restaurants
rdATJvFQK4C73NIQ3zoY3w,DSW Designer Shoe Warehouse,True,4.0,5,520 East Waterfront Drive Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9064005516943,40.4115808363504,business,Fashion & Shopping & Shoe Stores
g10zmpUzmMJOOIjj_JJPvg,Bed Bath & Beyond,True,3.0,7,490 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9059313112722,40.4117061676499,business,Department Stores & Fashion & Shopping
eznh0XjVtv924K-KYx_ilQ,Eat'n Park,True,3.0,43,245 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9132525,40.4113236,business,American (Traditional) & Diners & Restaurants
LQFWH1AKJlXGmEBlIKsBCw,TJ Maxx,True,4.0,6,580 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9047005,40.4119958,business,Department Stores & Fashion & Shopping
LO2CjrNL8DXkvm9uALgRjQ,Marshalls,True,3.0,9,460 Waterfront Dr E Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.909169,40.4127917,business,Discount Store & Shopping
usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,True,3.5,99,185 W Waterfront Dr Homestead Pittsburgh/Waterfront PA 15120,Pittsburgh/Waterfront,Homestead,PA,-79.9180894261369,40.4088783792259,business,Seafood & Restaurants
qfL7ZFkxqDZOPIaVVfT3Aw,Old Navy,True,3.0,6,560 E Waterfront Dr Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.906061,40.412712,business,Women's Clothing & Men's Clothing & Fashion & Shopping & Children's Clothing
GlYPVYSOVT7zn00Kk_Oz4g,Dick's Sporting Goods,True,3.0,7,The Waterfront 350 E Waterfront Dr Homestead Homestead PA 15120,Homestead,Homestead,PA,-79.9075963,40.4138973,business,Sporting Goods & Fashion & Shopping & Sports Wear
WaHXyBwljbKNPmmJZn5j8Q,Shop 'n Save,True,3.0,3,1886 Homeville Rd West Mifflin PA 15122,West Mifflin,,PA,-79.8737336,40.3736775,business,Food & Grocery
bCw9HKDFLU_PppnNg-nIlw,Giant Eagle,True,2.5,3,1356 Hoffman Blvd West Mifflin PA 15122,West Mifflin,,PA,-79.868392,40.3823673,business,Food & Grocery
CL3tZqbYT7B5zgewKCS6-Q,McDonald's,True,1.0,3,Kennywood & Hoffman West Mifflin PA 15122,West Mifflin,,PA,-79.8626605,40.3849854,business,Burgers & Fast Food & Restaurants
u22QDAON1kk0wjoTliyftw,Latina Pizza,True,4.0,3,4426 Kennywood Blvd West Mifflin PA 15122,West Mifflin,,PA,-79.868305,40.389192,business,Pizza & Restaurants
4ykgzzzGEWjMD5lwk1-l9A,Big Bang Bicycles,True,4.5,16,347 Lebanon Rd West Mifflin PA 15122,West Mifflin,,PA,-79.9264919,40.3715391,business,Sporting Goods & Bikes & Shopping
53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,True,3.0,4,1842 Homeville Rd West Mifflin PA 15122,West Mifflin,,PA,-79.8737336,40.3736775,business,Pizza & Restaurants
iBZRphMDFcS2aMbawc1OvA,Hunan Wok Chinese Restaurant,True,5.0,4,1822 Homeville Rd West Mifflin PA 15122,West Mifflin,,PA,-79.8737336,40.3736775,business,Chinese & Restaurants
hnHt6EinzC-IX6y3GSF7jw,Minerva Bakery,True,5.0,11,927 5th Ave McKeesport PA 15132,McKeesport,,PA,-79.8546832,40.3520269,business,Bakeries & Food & Desserts
LiMXTPwanF3LkkKHklFCjw,Pierogies Plus,True,4.5,33,342 Island Ave Mc Kees Rocks PA 15136,Mc Kees Rocks,,PA,-80.0599791,40.468873,business,Event Planning & Services & Caterers
GJAv1nAfnHuab8oRyr8mXg,Eat'n Park Restaurant,True,4.0,4,301 Chartiers Ave McKees Rocks PA 15136,McKees Rocks,,PA,-80.0579296,40.4641404,business,American (Traditional) & Restaurants
r8BwdblCW-ZUES37BL0khw,Broadway Brunch,True,4.5,17,719 Broadway Ave McKees Rocks PA 15136,McKees Rocks,,PA,-80.074153,40.472505,business,Burgers & Breakfast & Brunch & Diners & Restaurants
mIiHJkpK8nZvW_45LlhrbA,Pasquarelli's Pizza House,True,4.0,12,824 Chartiers Ave Mc Kees Rocks PA 15136,Mc Kees Rocks,,PA,-80.0653055,40.4660133,business,Pizza & Restaurants
bN3jIkPqbqroQJteJsC2uw,Island Avenue Tattoo,True,3.5,4,715 Island Ave Mc Kees Rocks PA 15136,Mc Kees Rocks,,PA,-80.0622046,40.4728976,business,Tattoo & Piercing & Beauty & Spas
OZfpG8tDCcIEq8pzgZdyKw,Applebee's,True,3.5,6,6570 Rt 60 Steubenville Pike McKees Rocks PA 15136,McKees Rocks,,PA,-80.0656106,40.46562,business,Bars & American (Traditional) & Burgers & Nightlife & Sports Bars & Restaurants
OSYHPhvDWMqBRDZblqGiZA,Giant Eagle,True,3.5,3,1800 McKees Rocks Rd McKees Rocks PA 15136,McKees Rocks,,PA,-80.097642,40.467816,business,Food & Grocery
8Nm_jcCYtMXYW0ODSHDiXA,Sapporo Japanese Steakhouse,True,4.5,7,4260 Steubenville Pike Pittsburgh PA 15205,Pittsburgh,,PA,-80.0909106,40.4400036,business,Japanese & Restaurants
9tAbTDdYTASHL7EU1e-OWw,Ricci Italian Sausage,True,4.5,3,500 Pine Hollow Rd Mc Kees Rocks PA 15136,Mc Kees Rocks,,PA,-80.0969955,40.4736321,business,Food & Specialty Food & Meat Shops
imM-x_nAxVtYGVFJJ4FS3Q,Cindy Esser's Floral Shop,True,3.5,6,1122 E Carson St South Side Pittsburgh PA 15203,Pittsburgh,South Side,PA,-79.9864887,40.4285966,business,Flowers & Gifts & Shopping & Florists
T49ZvBa6mD4xHSmjHe-ArA,R & B's Pizza Place,True,4.0,14,421 Lincoln Ave Bellevue Bellvue PA 15202,Bellvue,Bellevue,PA,-80.0532928,40.4941577,business,Pizza & Restaurants
TpLtXNrNK0FcmSLtNN7rpQ,Valvoline Instant Oil Change,True,4.5,3,4469 Ohio River Blvd Bellevue Pittsburgh PA 15202,Pittsburgh,Bellevue,PA,-80.0605548,40.4906615,business,Oil Change Stations & Automotive
eOv0Dbq2E8sd0CKMAqTImw,Luigi's Pizzeria,True,4.0,17,531 Lincoln Ave Bellevue Bellevue PA 15202,Bellevue,Bellevue,PA,-80.056877,40.495887,business,Pizza & Restaurants
