ID,Name,Monday Open,Monday Closed,Tuesday Open,Tuesday Closed,Wednesday Open,Wednesday Closed,Thursday Open,Thursday Closed,Friday Open,Friday Closed,Saturday Open,Saturday Closed,Sunday Open,Sunday Closed
8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,21:00
t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,1:30,10:00,1:30,11:00,23:00
3gmBc0qN_LtGbZAjTtHWZg,Starbucks,6:00,21:30,6:00,21:30,6:00,21:30,6:00,22:30,7:00,22:30,7:00,21:00,6:00,21:30
sZ4uYs99km644ZMR1TO76A,Randy's Beer Barrel Pub,,,,,,,,,,,,,,
yHTLTr-QN-loO_7XoxS8qg,Michaels,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,10:00,19:00
iQLLIdmJSt6LQHSjpZERLA,Yankee Candle Co.,,,,,,,,,,,,,,
6ilJq_05xRgek_8qUp36-g,Steak 'n Shake,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00
57HN9fGRar_GckBmgHgemA,Filene's Basement,,,,,,,,,,,,,,
MKyk4F4HSzHF8v-4cYe3Ww,Sing Sing,,,,,,,18:00,2:00,18:00,2:00,18:00,2:00,,
0hrB2iwQZ52VZcZWYywXrA,Joe Dilorio's Auto Body Shop,8:00,16:30,8:00,16:30,8:00,16:30,8:00,16:30,8:00,16:30,,,,
gClSqcwuLsgyZRCzhJc7Dg,Lowe's Home Improvement,,,,,,,,,,,,,,
1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,,,,,,,,,,,,,,
sbW8qHJgzEIH42B0S-3New,Dave & Buster's,11:30,0:00,11:30,0:00,11:30,0:00,11:30,0:00,11:30,2:00,11:30,2:00,11:30,0:00
CgGT6sr4OCF2BHYngOIqlw,Paw's In the Family Pet Grooming,,,,,,,,,,,,,,
W7ysp8GLCBrs0GXIVwAcBQ,Wendy's,,,,,,,,,,,,,,
#NAME?,Italian Village Pizza,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,0:00,11:00,0:00,11:00,0:00
McikHxxEqZ2X0joaRNKlaw,Rock Bottom,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,0:00
frIRW4BGhdAWbSsG5ev2ng,Master Muffler & Brakes,7:30,17:00,7:30,17:00,7:30,17:00,7:30,17:00,7:30,17:00,,,,
tv8cS4aaA1VDaInYgggb6g,Improv Comedy Club,,,,,,,,,,,,,,
eT5Ck7Gg1dBJobca9VFovw,Giant Eagle,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00
HwwEfnZKLNOUoqfgcwAgcQ,Barnes & Noble Booksellers,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,22:00,10:00,22:00,11:00,20:00
EoAY1JSVeJriBzId8lUQwQ,Bar Louie,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00
uI0LvTXFACid1308KFO5ew,Sandcastle Water Park,,,,,,,,,,,,,,
Y4CcDDyMoDpK7BbpKawWjw,American Buyers Discount Mattress Store,8:00,17:00,8:00,17:00,8:00,17:00,8:00,17:00,8:00,17:00,8:00,17:00,12:00,17:00
RxKrw38oyeYszQ6guY5b1A,First Class Limousine Service,,,,,,,,,,,,,,
TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:30,11:00,22:30,12:00,22:00
tU-YtoW339PXJmUGSix_AQ,TGI Friday's,,,,,,,,,,,,,,
6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,0:00,11:00,0:00
Eu3Iwje0YY8ectr-CxMgqg,Bath & Body Works,,,,,,,,,,,,,,
XhbC5Qj5nBcqcKLPRd8izQ,Victoria's Secret,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,12:00,18:00
FituZ4jYzRe41ac9uvcHaQ,LOFT,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,11:00,18:00
JDDeaNfb0JXD1NbznSIC9g,P.F. Chang's China Bistro,11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,11:00,23:30,11:00,23:30,11:00,22:30
oPX8bpZ3dqviYQuic0Ahqw,Gordon Shoes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,12:00,18:00
FiXamVMgMf9U0VqFHDZSEA,Panera Bread,6:30,21:00,6:30,21:00,6:30,21:00,6:30,21:00,6:30,22:00,7:00,22:00,8:00,20:00
LG_Dgv7u7P2ASDWU1RAyWQ,Munhall Veterinary Hospital,,,,,,,,,,,,,,
ISKLP0qxApATxRlUDob6Cg,Target,,,,,,,,,,,,,,
DMy5IG-dNrH4ARk96KngEA,Men's Wearhouse,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:30,21:00,11:00,18:00
uLnDFdn011hEroQQMLmxNQ,The Pizza Company,,,,,,,,,,,,,,
rdATJvFQK4C73NIQ3zoY3w,DSW Designer Shoe Warehouse,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,11:00,18:00
g10zmpUzmMJOOIjj_JJPvg,Bed Bath & Beyond,,,,,,,,,,,,,,
eznh0XjVtv924K-KYx_ilQ,Eat'n Park,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,1:00,6:00,1:00,6:00,0:00
LQFWH1AKJlXGmEBlIKsBCw,TJ Maxx,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,11:00,20:00
LO2CjrNL8DXkvm9uALgRjQ,Marshalls,,,,,,,,,,,,,,
usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,0:00,11:30,0:00,11:00,22:00
qfL7ZFkxqDZOPIaVVfT3Aw,Old Navy,,,,,,,,,,,,,,
GlYPVYSOVT7zn00Kk_Oz4g,Dick's Sporting Goods,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,10:00,19:00
WaHXyBwljbKNPmmJZn5j8Q,Shop 'n Save,,,,,,,,,,,,,,
bCw9HKDFLU_PppnNg-nIlw,Giant Eagle,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00
CL3tZqbYT7B5zgewKCS6-Q,McDonald's,,,,,,,,,,,,,,
u22QDAON1kk0wjoTliyftw,Latina Pizza,,,,,,,,,,,,,,
4ykgzzzGEWjMD5lwk1-l9A,Big Bang Bicycles,,,,,,,,,,,,,,
53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,,,,,,,,,,,,,,
iBZRphMDFcS2aMbawc1OvA,Hunan Wok Chinese Restaurant,,,,,,,,,,,,,,
hnHt6EinzC-IX6y3GSF7jw,Minerva Bakery,,,7:00,16:30,7:00,16:30,7:00,16:30,7:00,16:30,7:00,15:30,,
LiMXTPwanF3LkkKHklFCjw,Pierogies Plus,11:00,18:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,,,,
GJAv1nAfnHuab8oRyr8mXg,Eat'n Park Restaurant,,,,,,,,,,,,,,
r8BwdblCW-ZUES37BL0khw,Broadway Brunch,6:00,14:00,6:00,14:00,6:00,14:00,6:00,14:00,6:00,14:00,7:00,14:00,7:00,14:00
mIiHJkpK8nZvW_45LlhrbA,Pasquarelli's Pizza House,,,,,,,,,,,,,,
bN3jIkPqbqroQJteJsC2uw,Island Avenue Tattoo,,,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,,
OZfpG8tDCcIEq8pzgZdyKw,Applebee's,,,,,,,,,,,,,,
OSYHPhvDWMqBRDZblqGiZA,Giant Eagle,,,,,,,,,,,,,,
8Nm_jcCYtMXYW0ODSHDiXA,Sapporo Japanese Steakhouse,16:30,22:00,16:30,22:00,16:30,22:00,16:30,22:00,16:30,22:30,16:30,22:30,15:00,21:00
9tAbTDdYTASHL7EU1e-OWw,Ricci Italian Sausage,8:30,18:00,8:30,18:00,8:30,18:00,8:30,18:00,8:30,18:00,8:30,17:00,,
imM-x_nAxVtYGVFJJ4FS3Q,Cindy Esser's Floral Shop,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,14:00,,
T49ZvBa6mD4xHSmjHe-ArA,R & B's Pizza Place,,,,,,,,,,,,,,
TpLtXNrNK0FcmSLtNN7rpQ,Valvoline Instant Oil Change,7:30,19:00,7:30,19:00,7:30,19:00,7:30,19:00,7:30,19:00,8:00,17:00,10:00,16:00
eOv0Dbq2E8sd0CKMAqTImw,Luigi's Pizzeria,,,,,,,,,,,,,,
