ID,Name,Happy Hour,Take-out,Drive-Thru,Caters,Noise Level,Takes Reservations,Delivery,Has TV,Outdoor Seating,Attire,Alcohol,Waiter Service,Accepts Credit Cards,Good for Kids,Good For Groups,Good For Dancing,Price Range,Wi-Fi,Smoking,Coat Check
zgy27FSnvwdINfk5cXBIyQ,Extended Stay America - Pittsburgh - Carnegie,,,,,,,,,,,,,True,,,,2,free,,
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,,True,,,average,False,False,True,True,casual,full_bar,True,True,False,True,False,2,,,False
6o3RK6rTcN3nw-j-r2nQmA,Porto Fino Pizzaria & Gyro,,,,,,,,,,,,,,,,,,,,
woOVJ0Z2f6XNCDntHA3b_g,Alteration World,,,,,,,,,,,,,False,,,,,,,
YX_cdwb0A62hdQRBiZJgtQ,Greentree Auto Body,,,,,,,,,,,,,,,,,,,,
rv7CY8G_XibTx82YhuqQRw,Long John Silver's,,True,,False,average,False,False,False,False,casual,none,False,True,True,True,,1,no,,
e_U_FnpdKVgNb4mUN2cU_Q,"Weinberg Lisa, DMD",,,,,,,,,,,,,,,,,,,,
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,,True,,,quiet,,True,True,False,casual,none,False,True,True,False,,1,,,
L0YSY79uzz_FIInvKmvyIw,West Penn Dental Centers,,,,,,,,,,,,,,,,,,,,
wqu7ILomIOPSduRwoWp4AQ,Denny's,,True,,False,average,False,False,False,False,casual,none,True,True,True,True,,1,no,,
1u2NauOy8xDj7aFQET680A,Amerifit,,,,,,,,,,,,,,True,,,,,,
P1fJb2WQ1mXoiudj8UE44w,Papa J's,,True,,True,average,True,False,True,True,casual,full_bar,True,True,True,True,,2,no,,
8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,,True,,False,quiet,False,False,False,False,casual,none,False,True,True,False,,2,no,,
t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,,True,,,average,,True,False,False,,,True,True,,True,,1,,,
3gmBc0qN_LtGbZAjTtHWZg,Starbucks,,,,,,,,,True,,,,True,,,,2,free,,
sZ4uYs99km644ZMR1TO76A,Randy's Beer Barrel Pub,,,,,,,,,,,,,,,True,,,,,
yHTLTr-QN-loO_7XoxS8qg,Michaels,,,,,,,,,,,,,True,,,,2,,,
iQLLIdmJSt6LQHSjpZERLA,Yankee Candle Co.,,,,,,,,,,,,,True,,,,2,,,
6ilJq_05xRgek_8qUp36-g,Steak 'n Shake,,True,True,False,average,False,False,False,False,casual,none,True,True,True,True,,1,no,,
57HN9fGRar_GckBmgHgemA,Filene's Basement,,,,,,,,,,,,,,,,,2,,,
MKyk4F4HSzHF8v-4cYe3Ww,Sing Sing,True,False,,False,very_loud,True,False,False,False,casual,full_bar,True,True,False,True,True,2,no,no,False
0hrB2iwQZ52VZcZWYywXrA,Joe Dilorio's Auto Body Shop,,,,,,,,,,,,,,,,,,,,
gClSqcwuLsgyZRCzhJc7Dg,Lowe's Home Improvement,,,,,,,,,,,,,True,,,,2,,,
1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,True,True,,,loud,False,False,True,True,casual,full_bar,True,True,False,True,False,2,,,False
sbW8qHJgzEIH42B0S-3New,Dave & Buster's,True,True,,True,very_loud,True,False,True,False,casual,full_bar,True,True,True,True,False,2,no,no,True
CgGT6sr4OCF2BHYngOIqlw,Paw's In the Family Pet Grooming,,,,,,,,,,,,,,,,,,,,
W7ysp8GLCBrs0GXIVwAcBQ,Wendy's,,True,True,,quiet,False,False,,False,casual,none,False,True,True,True,,1,free,,
-taSf0shFSUKy9iCXnySsA,Italian Village Pizza,,,,,,,,,,,,,,,,,,,,
McikHxxEqZ2X0joaRNKlaw,Rock Bottom,,True,,False,average,True,False,True,True,casual,full_bar,True,True,True,True,,2,no,,
frIRW4BGhdAWbSsG5ev2ng,Master Muffler & Brakes,,,,,,,,,,,,,,,,,,,,
tv8cS4aaA1VDaInYgggb6g,Improv Comedy Club,False,,,,very_loud,,,False,False,,full_bar,,True,,True,False,2,,no,False
eT5Ck7Gg1dBJobca9VFovw,Giant Eagle,,,,,,,,,,,,,True,,,,2,,,
HwwEfnZKLNOUoqfgcwAgcQ,Barnes & Noble Booksellers,,,,,,,,,,,,,True,,,,2,,,
EoAY1JSVeJriBzId8lUQwQ,Bar Louie,True,True,,False,loud,True,False,True,True,casual,full_bar,True,True,False,True,False,2,free,outdoor,False
uI0LvTXFACid1308KFO5ew,Sandcastle Water Park,,,,,,,,,,,,,,True,,,,,,
Y4CcDDyMoDpK7BbpKawWjw,American Buyers Discount Mattress Store,,,,,,,,,,,,,True,,,,2,,,
RxKrw38oyeYszQ6guY5b1A,First Class Limousine Service,,,,,,,,,,,,,,,,,,,,
TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,,True,,,average,False,False,False,False,casual,none,False,True,True,False,,1,no,,
tU-YtoW339PXJmUGSix_AQ,TGI Friday's,True,True,,True,,True,False,True,False,casual,full_bar,True,True,True,True,False,2,free,,False
6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,,True,,True,average,False,False,True,False,casual,full_bar,True,True,True,True,,2,free,,
Eu3Iwje0YY8ectr-CxMgqg,Bath & Body Works,,,,,,,,,,,,,True,,,,3,,,
XhbC5Qj5nBcqcKLPRd8izQ,Victoria's Secret,,,,,,,,,,,,,True,,,,3,,,
FituZ4jYzRe41ac9uvcHaQ,LOFT,,,,,,,,,,,,,True,,,,2,,,
JDDeaNfb0JXD1NbznSIC9g,P.F. Chang's China Bistro,,True,,False,loud,True,False,True,False,casual,full_bar,True,True,True,True,,2,no,,
oPX8bpZ3dqviYQuic0Ahqw,Gordon Shoes,,,,,,,,,,,,,True,,,,2,,,
FiXamVMgMf9U0VqFHDZSEA,Panera Bread,,True,,True,average,False,False,False,True,casual,none,False,True,True,True,,1,free,,
LG_Dgv7u7P2ASDWU1RAyWQ,Munhall Veterinary Hospital,,,,,,,,,,,,,,,,,,,,
ISKLP0qxApATxRlUDob6Cg,Target,,,,,,,,,,,,,True,,,,2,,,
DMy5IG-dNrH4ARk96KngEA,Men's Wearhouse,,,,,,,,,,,,,True,,,,3,,,
uLnDFdn011hEroQQMLmxNQ,The Pizza Company,,True,,,loud,False,True,,False,casual,,False,,True,True,,1,,,
rdATJvFQK4C73NIQ3zoY3w,DSW Designer Shoe Warehouse,,,,,,,,,,,,,True,,,,2,,,
g10zmpUzmMJOOIjj_JJPvg,Bed Bath & Beyond,,,,,,,,,,,,,True,,,,2,,,
eznh0XjVtv924K-KYx_ilQ,Eat'n Park,,True,,True,average,False,False,False,False,casual,none,True,True,True,True,,1,no,,
LQFWH1AKJlXGmEBlIKsBCw,TJ Maxx,,,,,,,,,,,,,True,,,,2,,,
LO2CjrNL8DXkvm9uALgRjQ,Marshalls,,,,,,,,,,,,,True,,,,2,,,
usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,,True,,False,average,True,False,True,True,casual,full_bar,True,True,True,True,,3,free,,
qfL7ZFkxqDZOPIaVVfT3Aw,Old Navy,,,,,,,,,,,,,True,,,,2,,,
GlYPVYSOVT7zn00Kk_Oz4g,Dick's Sporting Goods,,,,,,,,,,,,,True,,,,3,,,
WaHXyBwljbKNPmmJZn5j8Q,Shop 'n Save,,,,,,,,,,,,,True,,,,2,,,
bCw9HKDFLU_PppnNg-nIlw,Giant Eagle,,,,,,,,,,,,,True,,,,2,,,
CL3tZqbYT7B5zgewKCS6-Q,McDonald's,,False,,,,,False,,,,,,False,False,False,,,,,
u22QDAON1kk0wjoTliyftw,Latina Pizza,,True,,,,False,False,,,casual,,,False,True,True,,1,,,
4ykgzzzGEWjMD5lwk1-l9A,Big Bang Bicycles,,,,,,,,,,,,,True,True,,,3,,,
53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,,True,,,quiet,False,True,False,False,casual,none,False,,True,False,,1,no,,
iBZRphMDFcS2aMbawc1OvA,Hunan Wok Chinese Restaurant,,True,,False,quiet,False,False,False,False,casual,none,False,False,True,True,,1,no,,
hnHt6EinzC-IX6y3GSF7jw,Minerva Bakery,,,,,,,,,,,,,True,,,,2,,,
LiMXTPwanF3LkkKHklFCjw,Pierogies Plus,,,,,,,,,,,,,True,,,,,,,
GJAv1nAfnHuab8oRyr8mXg,Eat'n Park Restaurant,,True,,False,average,False,False,False,False,casual,none,True,True,True,True,,1,no,,
r8BwdblCW-ZUES37BL0khw,Broadway Brunch,,True,False,True,average,False,False,False,False,casual,none,True,True,True,True,,1,free,,
mIiHJkpK8nZvW_45LlhrbA,Pasquarelli's Pizza House,,True,,,quiet,False,True,False,False,casual,none,False,False,True,True,,2,,,
bN3jIkPqbqroQJteJsC2uw,Island Avenue Tattoo,,,,,,,,,,,,,True,,,,2,,,
OZfpG8tDCcIEq8pzgZdyKw,Applebee's,True,True,False,,,False,False,True,False,casual,full_bar,True,True,True,True,False,2,,,
OSYHPhvDWMqBRDZblqGiZA,Giant Eagle,,,,,,,,,,,,,True,,,,2,,,
8Nm_jcCYtMXYW0ODSHDiXA,Sapporo Japanese Steakhouse,,True,,True,quiet,True,False,True,False,casual,full_bar,True,True,True,True,,3,no,,
9tAbTDdYTASHL7EU1e-OWw,Ricci Italian Sausage,,,,,,,,,,,,,True,,,,1,,,
imM-x_nAxVtYGVFJJ4FS3Q,Cindy Esser's Floral Shop,,,,,,,True,,,,,,True,,,,2,,,
T49ZvBa6mD4xHSmjHe-ArA,R & B's Pizza Place,,True,,,average,False,True,False,False,casual,none,False,True,True,False,,1,no,,
TpLtXNrNK0FcmSLtNN7rpQ,Valvoline Instant Oil Change,,,,,,,,,,,,,,,,,,,,
eOv0Dbq2E8sd0CKMAqTImw,Luigi's Pizzeria,,True,,,average,False,True,False,False,casual,none,True,True,True,True,,2,,,
