President,Date,Link,Speech
John Adams ,"December 3, 1799",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-adams-december-3-1799," Gentlemen of the Senate and Gentlemen of the House of Representatives:  It is with peculiar satisfaction that I meet the 6th Congress of the United States of America. Coming from all parts of the Union at this critical and interesting period, the members must be fully possessed of the sentiments and wishes of our constituents.  The flattering prospects of abundance from the labors of the people by land and by sea; the prosperity of our extended commerce, notwithstanding interruptions occasioned by the belligerent state of a great part of the world; the return of health, industry, and trade to those cities which have lately been afflicted with disease, and the various and inestimable advantages, civil and religious, which, secured under our happy frame of government, are continued to us unimpaired, demand of the whole American people sincere thanks to a benevolent Deity for the merciful dispensations of His providence. "
John Adams ,"November 11, 1800",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-adams-november-11-1800," Gentlemen of the Senate and Gentlemen of the House of Representatives:  Immediately after the adjournment of Congress at their last session in Philadelphia I gave directions, in compliance with the laws, for the removal of the public offices, records, and property. These directions have been executed, and the public officers have since resided and conducted the ordinary business of the Government in this place.  I congratulate the people of the United States on the assembling of Congress at the permanent seat of their Government, and I congratulate you, gentlemen, on the prospect of a residence not to be changed. Although there is cause to apprehend that accommodations are not now so complete as might be wished, yet there is great reason to believe that this inconvenience will cease with the present session. "
Thomas Jefferson ,"December 8, 1801",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-december-8-1801," Fellow Citizens of the Senate and House of Representatives:  It is a circumstance of sincere gratification to me that on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars and troubles which have for so many years afflicted our sister nations have at length come to an end, and that the communications of peace and commerce are once more opening among them. Whilst we devoutly return thanks to the beneficent Being who has been pleased to breathe into them the spirit of conciliation and forgiveness, we are bound with peculiar gratitude to be thankful to Him that our own peace has been preserved through so perilous a season, and ourselves permitted quietly to cultivate the earth and to practice and improve those arts which tend to increase our comforts. The assurances, indeed, of friendly disposition received from all the powers with whom we have principle relations had inspired a confidence that our peace with them would not have been disturbed. But a cessation of irregularities which had affected the commerce of neutral nations and of the irritations and injuries produced by them can not but add to this confidence, and strengthens at the same time the hope that wrongs committed on unoffending friends under a pressure of circumstances will now be reviewed with candor, and will be considered as founding just claims of retribution for the past and new assurance for the future.  Among our Indian neighbors also a spirit of peace and friendship generally prevails, and I am happy to inform you that the continued efforts to introduce among them the implements and the practice of husbandry and the household arts have not been without success; that they are becoming more and more sensible of the superiority of this dependence for clothing and subsistence over the precarious resources of hunting and fishing, and already we are able to announce that instead of that constant diminution of their numbers produced by their wars and their wants, some of them begin to experience an increase of population. "
Thomas Jefferson ,"December 15, 1802",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-december-15-1802," To the Senate and House of Representatives:  When we assemble together, fellow citizens, to consider the state of our beloved country, our just attentions are first drawn to those pleasing circumstances which mark the goodness of that Being from whose favor they flow and the large measure of thankfulness we owe for His bounty. Another year has come around, and finds us still blessed with peace and friendship abroad; law, order, and religion at home; good affection and harmony with our Indian neighbors; our burthens lightened, yet our income sufficient for the public wants, and the produce of the year great beyond example. These, fellow citizens, are the circumstances under which we meet, and we remark with special satisfaction those which under the smiles of Providence result from the skill, industry, and order of our citizens, managing their own affairs in their own way and for their own use, unembarrassed by too much regulation, unoppressed by fiscal exactions.  On the restoration of peace in Europe that portion of the general carrying trade which had fallen to our share during the war was abridged by the returning competition of the belligerent powers. This was to be expected, and was just. But in addition we find in some parts of Europe monopolizing discriminations, which in the form of duties tend effectually to prohibit the carrying thither our own produce in our own vessels. From existing amities and a spirit of justice it is hoped that friendly discussion will produce a fair and adequate reciprocity. But should false calculations of interest defeat our hope, it rests with the Legislature to decide whether they will meet inequalities abroad with countervailing inequalities at home, or provide for the evil in any other way. "
Thomas Jefferson ,"October 17, 1803",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-october-17-1803," To The Senate and House of Representatives of the United States:  In calling you together, fellow citizens, at an earlier day than was contemplated by the act of the last session of Congress, I have not been insensible to the personal inconveniences necessarily resulting from an unexpected change in your arrangements, but matters of great public concernment have rendered this call necessary, and the interests you feel in these will supersede in your minds all private considerations.  Congress witnessed at their late session the extraordinary agitation produced in the public mind by the suspension of our right of deposit at the port of New Orleans, no assignment of another place having been made according to treaty. They were sensible that the continuance of that privation would be more injurious to our nation than any consequences which could flow from any mode of redress, but reposing just confidence in the good faith of the Government whose officer had committed the wrong, friendly and reasonable representations were resorted to, and the right of deposit was restored. "
Thomas Jefferson ,"November 8, 1804",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-november-8-1804," The Senate and House of Representatives of the United States:  To a people, fellow citizens, who sincerely desire the happiness and prosperity of other nations; to those who justly calculate that their own well-being is advanced by that of the nations with which they have intercourse, it will be a satisfaction to observe that the war which was lighted up in Europe a little before our last meeting has not yet extended its flames to other nations, nor been marked by the calamities which sometimes stain the foot-steps of war. The irregularities, too, on the ocean, which generally harass the commerce of neutral nations, have, in distant parts, disturbed ours less than on former occasions; but in the American seas they have been greater from peculiar causes, and even within our harbors and jurisdiction infringements on the authority of the laws have been committed which have called for serious attention. The friendly conduct of the Governments from whose officers and subjects these acts have proceeded, in other respects and in places more under their observation and control, gives us confidence that our representations on this subject will have been properly regarded.  While noticing the irregularities committed on the ocean by others, those on our own part should not be omitted nor left unprovided for. Complaints have been received that persons residing within the United States have taken on themselves to arm merchant vessels and to force a commerce into certain ports and countries in defiance of the laws of those countries. That individuals should undertake to wage private war, independently of the authority of their country, can not be permitted in a well-ordered society. Its tendency to produce aggression on the laws and rights of other nations and to endanger the peace of our own is so obvious that I doubt not you will adopt measures for restraining it effectually in future. "
Thomas Jefferson ,"December 3, 1805",https://www.infoplease.com/primary-sources/government/presidential-speeches/thomas-jefferson-december-3-1805,"At a moment when the nations of Europe are in commotion and arming against each other, and when those with whom we have principal intercourse are engaged in the general contest, and when the countenance of some of them toward our peaceable country threatens that even that may not be unaffected by what is passing on the general theater, a meeting of the representatives of the nation in both Houses of Congress has become more than usually desirable. Coming from every section of our country, they bring with them the sentiments and the information of the whole, and will be enabled to give a direction to the public affairs which the will and the wisdom of the whole will approve and support.In taking a view of the state of our country we in the first place notice the late affliction of two of our cities under the fatal fever which in latter times has occasionally visited our shores. Providence in His goodness gave it an early termination on this occasion and lessened the number of victims which have usually fallen before it. In the course of the several visitations by this disease it has appeared that it is strictly local, incident to cities and on the tide waters only, incommunicable in the country either by persons under the disease or by goods carried from diseased places; that its access is with the autumn and it disappears with the early frosts.These restrictions within narrow limits of time and space give security even to our maritime cities during three quarter of the year, and to the country always. Although from these facts it appears unnecessary, yet to satisfy the fears of foreign nations and cautions on their part not to be complained of in a danger whose limits are yet unknown to them I have strictly enjoined on the officers at the head of the customs to certify with exact truth for every vessel sailing for a foreign port the state of health respecting this fever which prevails at the place from which she sails. Under every motive from character and duty to certify the truth, I have no doubt they have faithfully executed this injunction. Much real injury has, however, been sustained from a propensity to identify with this endemic and to call by the same name fevers of very different kinds, which have been known at all times and in all countries, and never have been placed among those deemed contagious."
Thomas Jefferson ,"December 2, 1806",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-december-2-1806," The Senate and House of Representatives of the United States:  It would have given me, fellow citizens, great satisfaction to announce in the moment of your meeting that the difficulties in our foreign relations existing at the time of your last separation had been amicably and justly terminated. I lost no time in taking those measures which were most likely to bring them to such a termination—by special missions charged with such powers and instructions as in the event of failure could leave no imputation on either our moderation or forbearance. The delays which have since taken place in our negotiations with the British Government appear to have proceeded from causes which do not forbid the expectation that during the course of the session I may be enabled to lay before you their final issue. What will be that of the negotiations for settling our differences with Spain nothing which had taken place at the date of the last dispatches enables us to pronounce. On the western side of the Mississippi she advanced in considerable force, and took post at the settlement of Bayou Pierre, on the Red River. This village was originally settled by France, was held by her as long as she held Louisiana, and was delivered to Spain only as a part of Louisiana. Being small, insulated, and distant, it was not observed at the moment of redelivery to France and the United States that she continued a guard of half a dozen men which had been stationed there. A proposition, however, having been lately made by our commander in chief to assume the Sabine River as a temporary line of separation between the troops of the two nations until the issue of our negotiations shall be known, this has been referred by the Spanish commandant to his superior, and in the mean time he has withdrawn his force to the western side of the Sabine River. The correspondence on this subject now communicated will exhibit more particularly the present state of things in that quarter.  The nature of that country requires indispensably that an unusual proportion of the force employed there should be cavalry or mounted infantry. In order, therefore, that the commanding officer might be enabled to act with effect, I had authorized him to call on the governors of Orleans and Mississippi for a corps of five hundred volunteer cavalry. The temporary arrangement he has proposed may perhaps render this unnecessary; but I inform you with great pleasure of the promptitude with which the inhabitants of those Territories have tendered their services in defense of their country. It has done honor to themselves, entitled them to the confidence of their fellow citizens in every part of the Union, and must strengthen the general determination to protect them efficaciously under all circumstances which may occur. "
Thomas Jefferson ,"October 27, 1807",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-october-27-1807," The Senate and House of Representatives of the United States:  Circumstances, fellow citizens, which seriously threatened the peace of our country have made it a duty to convene you at an earlier period than usual. The love of peace so much cherished in the bosoms of our citizens, which has so long guided the proceedings of their public councils and induced forbearance under so many wrongs, may not insure our continuance in the quiet pursuits of industry. The many injuries and depredations committed on our commerce and navigation upon the high seas for years past, the successive innovations on those principles of public law which have been established by the reason and usage of nations as the rule of their intercourse and the umpire and security of their rights and peace, and all the circumstances which induced the extraordinary mission to London are already known to you.  The instructions given to our ministers were framed in the sincerest spirit of amity and moderation. They accordingly proceeded, in conformity therewith, to propose arrangements which might embrace and settle all the points in difference between us, which might bring us to a mutual understanding on our neutral and national rights and provide for a commercial intercourse on conditions of some equality. After long and fruitless endeavors to effect the purposes of their mission and to obtain arrangements within the limits of their instructions, they concluded to sign such as could be obtained and to send them for consideration, candidly declaring to the other negotiators at the same time that they were acting against their instructions, and that their Government, therefore, could not be pledged for ratification. "
Thomas Jefferson ,"November 8, 1808",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-thomas-jefferson-november-8-1808," The Senate and House of Representatives of the United States:  It would have been a source, fellow citizens, of much gratification if our last communications from Europe had enabled me to inform you that the belligerent nations, whose disregard of neutral rights has been so destructive to our commerce, had become awakened to the duty and true policy of revoking their unrighteous edicts. That no means might be omitted to produce this salutary effect, I lost no time in availing myself of the act authorizing a suspension, in whole or in part, of the several embargo laws. Our ministers at London and Paris were instructed to explain to the respective Governments there our disposition to exercise the authority in such manner as would withdraw the pretext on which the aggressions were originally founded and open the way for a renewal of that commercial intercourse which it was alleged on all sides had been reluctantly obstructed.  As each of those Governments had pledged its readiness to concur in renouncing a measure which reached its adversary through the incontestable rights of neutrals only, and as the measure had been assumed by each as a retaliation for an asserted acquiescence in the aggression of the other, it was reasonably expected that the occasion would have been seized by both for evincing the sincerity of their professions, and for restoring to the commerce of the United States its legitimate freedom. The instructions to our ministers with respect to the different belligerents were necessarily modified with a reference to their different circumstances, and to the condition annexed by law to the Executive power of suspension, requiring a decree of security to our commerce which would not result from a repeal of the decrees of France. Instead of a pledge, therefore, of a suspension of the embargo as to her in case of such a repeal, it was presumed that a sufficient inducement might be found in other considerations, and particularly in the change produced by a compliance with our just demands by one belligerent and a refusal by the other in the relations between the other and the United States. "
James Madison ,"November 29, 1809",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-november-29-1809," Fellow-Citizens of the Senate and House of Representatives:  At the period of our last meeting I had the satisfaction of communicating an adjustment with one of the principal belligerent nations, highly important in itself, and still more so as presaging a more extended accommodation. It is with deep concern I am now to inform you that the favorable prospect has been over-clouded by a refusal of the British Government to abide by the act of its minister plenipotentiary, and by its ensuing policy toward the United States as seen through the communications of the minister sent to replace him.  Whatever pleas may be urged for a disavowal of engagements formed by diplomatic functionaries in cases where by the terms of the engagements a mutual ratification is reserved, or where notice at the time may have been given of a departure from instructions, or in extraordinary cases essentially violating the principles of equity, a disavowal could not have been apprehended in a case where no such notice or violation existed, where no such ratification was reserved, and more especially where, as is now in proof, an engagement to be executed without any such ratification was contemplated by the instructions given, and where it had with good faith been carried into immediate execution on the part of the United States. "
James Madison ,"December 5, 1810",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-december-5-1810," Fellow-Citizens of the Senate and House of Representatives:  The embarrassments which have prevailed in our foreign relations, and so much employed the deliberations of Congress, make it a primary duty in meeting you to communicate whatever may have occurred in that branch of our national affairs.  The act of the last session of Congress concerning the commercial intercourse between the United States and Great Britain and France and their dependencies having invited in a new form a termination of their edicts against our neutral commerce, copies of the act were immediately forwarded to our ministers at London and Paris, with a view that its object might be within the early attention of the French and British Governments. "
James Madison ,"November 5, 1811",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-november-5-1811," Fellow-Citizens of the Senate and House of Representatives:  In calling you together sooner than a separation from your homes would otherwise have been required I yielded to considerations drawn from the posture of our foreign affairs, and in fixing the present for the time of your meeting regard was had to the probability of further developments of the policy of the belligerent powers toward this country which might the more unite the national councils in the measures to be pursued.  At the close of the last session of Congress it was hoped that the successive confirmations of the extinction of the French decrees, so far as they violated our neutral commerce, would have induced the Government of Great Britain to repeal its orders in council, and thereby authorize a removal of the existing obstructions to her commerce with the United States. "
James Madison ,"November 4, 1812",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-november-4-1812," Fellow-Citizens of the Senate and House of Representatives:  On our present meeting it is my first duty to invite your attention to the providential favors which our country has experienced in the unusual degree of health dispensed to its inhabitants, and in the rich abundance with which the earth has rewarded the labors bestowed on it. In the successful cultivation of other branches of industry, and in the progress of general improvement favorable to the national prosperity, there is just occasion also for our mutual congratulations and thankfulness.  With these blessings are necessarily mingled the pressures and vicissitudes incident to the state of war into which the United States have been forced by the perseverance of a foreign power in its system of injustice and aggression. "
James Madison ,"December 7, 1813",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-december-7-1813," Fellow-Citizens of the Senate and House of Representatives:  In meeting you at the present interesting conjuncture it would have been highly satisfactory if I could have communicated a favorable result to the mission charged with negotiations for restoring peace. It was a just expectation, from the respect due to the distinguished Sovereign who had invited them by his offer of mediation, from the readiness with which the invitation was accepted on the part of the United States, and from the pledge to be found in an act of their Legislature for the liberality which their plenipotentiaries would carry into the negotiations, that no time would be lost by the British Government in embracing the experiment for hastening a stop to the effusion of blood. A prompt and cordial acceptance of the mediation on that side was the less to be doubted, as it was of a nature not to submit rights or pretensions on either side to the decision of an umpire, but to afford merely an opportunity, honorable and desirable to both, for discussing and, if possible, adjusting them for the interest of both.  The British cabinet, either mistaking our desire of peace for a dread of British power or misled by other fallacious calculations, has disappointed this reasonable anticipation. No communications from our envoys having reached us, no information on the subject has been received from that source; but it is known that the mediation was declined in the first instance, and there is no evidence, notwithstanding the lapse of time, that a change of disposition in the British councils has taken place or is to be expected. "
James Madison ,"September 20, 1814",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-september-20-1814," Fellow-Citizens of the Senate and House of Representatives:  Notwithstanding the early day which had been fixed for your session of the present year, I was induced to call you together still sooner, as well that any inadequacy in the existing provisions for the wants of the Treasury might be supplied as that no delay might happen in providing for the result of the negotiations on foot with Great Britain, whether it should require arrangements adapted to a return of peace or further and more effective provisions for prosecuting the war.  That result is not yet known. If, on the one hand, the repeal of the orders in council and the general pacification in Europe, which withdrew the occasion on which impressments from American vessels were practiced, suggest expectations that peace and amity may be reestablished, we are compelled, on the other hand, by the refusal of the British Government to accept the offered mediation of the Emperor of Russia, by the delays in giving effect to its own proposal of a direct negotiation, and, above all, by the principles and manner in which the war is now avowedly carried on to infer that a spirit of hostility is indulged more violent than ever against the rights and prosperity of this country. "
James Madison ,"December 5, 1815",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-december-5-1815," Fellow-Citizens of the Senate and House of Representatives:  I have the satisfaction on our present meeting of being able to communicate the successful termination of the war which had been commenced against the United States by the Regency of Algiers. The squadron in advance on that service, under Commodore Decatur, lost not a moment after its arrival in the Mediterranean in seeking the naval force of the enemy then cruising in that sea, and succeeded in capturing two of his ships, one of them the principal ship, commanded by the Algerine admiral. The high character of the American commander was brilliantly sustained on the occasion which brought his own ship into close action with that of his adversary, as was the accustomed gallantry of all the officers and men actually engaged. Having prepared the way by this demonstration of American skill and prowess, he hastened to the port of Algiers, where peace was promptly yielded to his victorious force.  In the terms stipulated the rights and honor of the United States were particularly consulted by a perpetual relinquishment on the part of the Dey of all pretensions to tribute from them. The impressions which have thus been made, strengthened as they will have been by subsequent transactions with the Regencies of Tunis and of Tripoli by the appearance of the larger force which followed under Commodore Bainbridge, the chief in command of the expedition, and by the judicious precautionary arrangements left by him in that quarter, afford a reasonable prospect of future security for the valuable portion of our commerce which passes within reach of the Barbary cruisers. "
James Madison ,"December 3, 1816",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-madison-december-3-1816," Fellow-Citizens of the Senate and House of Representatives:  In reviewing the present state of our country, our attention cannot be withheld from the effect produced by peculiar seasons which have very generally impaired the annual gifts of the earth and threatened scarcity in particular districts. Such, however, is the variety of soils, of climates, and of products within our extensive limits that the aggregate resources for subsistence are more than sufficient for the aggregate wants. And as far as an economy of consumption, more than usual, may be necessary, our thankfulness is due to Providence for what is far more than a compensation, in the remarkable health which has distinguished the present year.  Amidst the advantages which have succeeded the peace of Europe, and that of the United States with Great Britain, in a general invigoration of industry among us and in the extension of our commerce, the value of which is more and more disclosing itself to commercial nations, it is to be regretted that a depression is experienced by particular branches of our manufactures and by a portion of our navigation. As the first proceeds in an essential degree from an excess of imported merchandise, which carries a check in its own tendency, the cause in its present extent can not be very long in duration. The evil will not, however, be viewed by Congress without a recollection that manufacturing establishments, if suffered to sink too low or languish too long, may not revive after the causes shall have ceased, and that in the vicissitudes of human affairs situations may recur in which a dependence on foreign sources for indispensable supplies may be among the most serious embarrassments. "
James Monroe ,"December 12, 1817",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-monroe-december-12-1817," Fellow-Citizens of the Senate and House of Representatives:  At no period of our political existence had we so much cause to felicitate ourselves at the prosperous and happy condition of our country. The abundant fruits of the earth have filled it with plenty. An extensive and profitable commerce has greatly augmented our revenue. The public credit has attained an extraordinary elevation. Our preparations for defense in case of future wars, from which, by the experience of all nations, we ought not to expect to be exempted, are advancing under a well-digested system with all the dispatch which so important a work will admit. Our free Government, founded on the interest and affections of the people, has gained and is daily gaining strength. Local jealousies are rapidly yielding to more generous, enlarged, and enlightened views of national policy. For advantages so numerous and highly important it is our duty to unite in grateful acknowledgements to that Omnipotent Being from whom they are derived, and in unceasing prayer that He will endow us with virtue and strength to maintain and hand them down in their utmost purity to our latest posterity.  I have the satisfaction to inform you that an arrangement which had been commenced by my predecessor with the British Government for the reduction of the naval force by Great Britain and the United States on the Lakes has been concluded, by which it is provided that neither party shall keep in service on Lake Champlain more than one vessel, on Lake Ontario more than one, and on Lake Erie and the upper lakes more than two, to be armed each with one cannon only, and that all the other armed vessels of both parties, of which an exact list is interchanged, shall be dismantled. It is also agreed that the force retained shall be restricted in its duty to the internal purposes of each party, and that the arrangement shall remain in force until six months shall have expired after notice given by one of the parties to the other of its desire that it should terminate. By this arrangement useless expense on both sides and, what is of still greater importance, the danger of collision between armed vessels in those inland waters, which was great, is prevented. "
